aX,aY,aZ,gX,gY,gZ
-0.116,-0.478,1.218,107.361,2.258,-4.7
-0.091,-0.467,1.213,114.38,7.996,-3.845
-0.082,-0.465,1.183,124.207,10.62,-4.7
-0.07,-0.476,1.127,132.935,10.559,-5.92
-0.053,-0.488,1.064,138.489,8.057,-7.141
-0.036,-0.493,1.001,141.296,2.747,-9.705
-0.046,-0.506,0.941,140.32,-4.944,-13.184
-0.07,-0.501,0.885,138.367,-13.55,-16.113
-0.101,-0.497,0.845,135.925,-18.616,-17.639
-0.119,-0.496,0.807,135.62,-18.555,-18.25
-0.146,-0.499,0.767,136.047,-15.381,-17.639
-0.166,-0.503,0.743,134.644,-10.986,-14.771
